accuracy,precision,recall,f1,TN,FP,FN,TP,cv_fold,params
0.9364299424184261,0.061746987951807226,0.16666666666666666,0.09010989010989011,12156,623,205,41,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9315930902111325,0.06477732793522267,0.1951219512195122,0.0972644376899696,12086,693,198,48,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9350479846449137,0.05489614243323442,0.15040650406504066,0.08043478260869565,12142,637,209,37,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9299808061420346,0.05952380952380952,0.18292682926829268,0.08982035928143713,12068,711,201,45,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9299040307101727,0.052348993288590606,0.15853658536585366,0.07870837537840565,12073,706,207,39,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9366602687140115,0.06069802731411229,0.16260162601626016,0.08839779005524862,12160,619,206,40,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9304414587332054,0.06349206349206349,0.1951219512195122,0.09580838323353294,12071,708,198,48,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.93489443378119,0.05341246290801187,0.14634146341463414,0.0782608695652174,12141,638,210,36,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9293666026871401,0.06347150259067358,0.1991869918699187,0.0962671905697446,12056,723,197,49,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9325143953934741,0.056100981767180924,0.16260162601626016,0.08342022940563086,12106,673,206,40,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9366602687140115,0.0593607305936073,0.15853658536585366,0.08637873754152824,12161,618,207,39,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9300575815738964,0.06422018348623854,0.1991869918699187,0.09712586719524281,12065,714,197,49,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9299808061420346,0.04755434782608696,0.14227642276422764,0.07128309572301425,12078,701,211,35,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9273704414587332,0.06140350877192982,0.1991869918699187,0.09386973180076628,12030,749,197,49,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
